
===== mudiban.xlsx =====
-- sheet=2019报价 rows=168
R  4 | 项目内容
R348 | 主要材料品牌：兔宝宝欧松板（优等品）；立邦漆永得丽木制油漆；乳胶漆芬琳芬华全能内墙底漆、芬琳芬华五合一内墙乳胶漆；塔牌（低烟无卤阻燃）电线；安普恒讯宽频线（7类双屏蔽）及电话线；安普音响线；广东帝豪装饰专用伟星（福管）PPR抗菌水管；广东帝豪装饰专用伟星PVC-U斯派诺线管；伟星牌PVC-U（青韵）下水管；德高防水；广东帝豪装饰专用西牛牌防潮宝；德高地固漆；龙马牌白乳胶或兔宝宝白乳胶；兔宝宝净醛石膏板；匡山或海螺水泥、人工沙。如上述材料供应紧张，乙方可使用不低于上述档次的品牌材料
R349 | 超过二层及以上无电梯或电梯不准运输，材料搬运费及垃圾清运费另加合计费的2%；五层及以上无电梯或电梯不准运输，材料搬运费及垃圾清运费另加3% .（注：含有电梯但不准运输）以此类推。
R350 | 业主交纳工程款时，必须见到带有本公司财务公章的正规收据，否则本公司有权不予认可
R351 | 施工过程中，如果业主装修项目有违反建筑装饰施工条例的项目，本公司有权拒绝施工。(如甲方强制要求施工，本公司不予保修及承担任何责任）
R352 | 注：本报价中增加项目及水电项目未含以下项目不打折的费用，结算时应予以加上。
R353 | 业主：　　　　　审核：　　　　　　设计师：　　　　　　施工图：　　　　　效果图：　　　　　报价：
R355 | 现浇梁(240*300以内）
R356 | 现浇楼板

===== zhubaojiao.xlsx =====
-- sheet=2019报价 rows=328
R  4 | 项目内容
R  8 | 客厅、餐厅、书房及阳台
R  9 | 包入口半边门套
R 10 | 门套及门廊
R 11 | 门套基层打底
R 12 | 不锈钢门套
R 13 | 鞋柜柜体
R 14 | 鞋柜柜门
R 15 | 凹凸线条造型
R 16 | 柜内PU线条条收边
R 17 | 弧形角柜
R 18 | 顶面饰面装饰边框
R 19 | 天花烙黑缝
R 20 | 叠级造型天花
R 21 | 顶面黑钛钢装饰条
R 22 | 留缝天花
R 23 | 叠级石膏板压边
R 24 | 顶面半圆石膏线造型2公分
R 25 | 客厅顶面装饰木质雕花（大）
R 26 | 餐厅顶面装饰木质雕花（小）
R 27 | 天花贴木质线条
R 28 | 窗帘盒
R 29 | 天花饰面留缝
R 30 | 假梁装饰柱饰面
R 31 | 拱弯弧形天花
R 32 | 异形造型天花
R 33 | 石膏板平面天花
R 34 | 双层石膏板
R 35 | 欧松板顶面护墙基层
R 36 | 造型天花
R 37 | 弧形天花
R 38 | 造型天花（加隔音棉）
R 39 | 顶面弧形黑钛钢装饰条
R 40 | 顶面黑钛钢装饰条
R 41 | 天花虚光灯槽
R 42 | 天花预埋灯槽
R 43 | 30MM优质艺术石膏线
R 44 | 50-60MM优质艺术石膏线
R 45 | 80MM优质艺术石膏线
R 46 | 100MM优质艺术石膏线
R 47 | 钢琴石膏线
R 48 | 艺术石膏雕花
R 49 | 艺术石膏灯盘（Φ600mm）
R 50 | 艺术石膏灯盘（Φ1000mm）
R 51 | 顶面半圆石膏线造型
R 52 | 订做弧形石膏线
R 53 | 艺术石膏线刷漆
R 54 | 天花烙黑缝
R 55 | 餐厅天花饰面板假梁
R 56 | 阳台生态木天花基层
R 57 | 阳台生态木天花面层
R 58 [FLOOR_MATCH=['铺地砖', '地砖', '正铺']] | 客厅及餐厅正铺地砖（300-800MM）
R 59 [FLOOR_MATCH=['铺地砖', '地砖', '正铺']] | 客厅及餐厅正铺地砖（800*1600MM）
R 60 [FLOOR_MATCH=['铺地砖', '地砖', '正铺']] | 客厅及餐厅正铺地砖（750*1500MM）
R 61 [FLOOR_MATCH=['铺地砖', '地砖', '正铺']] | 客厅及餐厅正铺地砖（900*1800MM）
R 62 [FLOOR_MATCH=['铺地砖', '地砖', '正铺']] | 客厅及餐厅正铺地砖（600*1200MM）
R 63 [FLOOR_MATCH=['铺地砖', '地砖']] | 客厅及餐厅菱铺地砖（300-800MM）
R 64 | 角花铺贴
R 65 | 波导线
R 66 | 踢脚线
R 67 | 剔除踢脚线墙面水泥层
R 68 | 剔除墙面1公分水泥层
R 69 | 勾缝处理
R 70 | 电视背景墙
R 71 | 过道墙面背景弧形造型
R 72 | 电视背景打底贴文化石
R 73 | 电视背景木格饰面造型
R 74 | 饰面边框220*30
R 75 | 饰面边框125*60
R 76 | 饰面边框100*30
R 77 | 饰面边框80*35
R 78 | 饰面边框50*30
R 79 | 餐厅背景造型隐形门
R 80 | 客厅背景装饰层板柜
R 81 | 墙面贴木质线条
R 82 | 背景墙面石膏板造型
R 83 | 斜面饰面边框造型
R 84 | 20MM木质半圆线条
R 85 | 30MM木质边角线
R 86 | 60MM木质边阴角线
R 87 | 80MM木质边阴角线
R 88 | 100MM木质边阴角线
R 89 | 定制弧形木质角线
R 90 | 50MM半圆形实木立柱
R 91 | 背景木质雕花（小）
R 92 | 背景饰面板墙群造型
R 93 | 背景原墙面贴砖（800*400）
R 94 | 背景墙面打底贴墙砖
R 95 | 电视背景打底贴文化石
R 96 | 餐区酒水柜
R 97 | 底柜柜门
R 98 | 凹凸造型装饰
R 99 | 硬包造型
R100 | 造型基层
R101 | 背景黑钛钢装饰条
R102 | 背景黑钛钢装饰条
R103 | 墙面黑钛钢装饰
R104 | 背景车边灰镜造型
R105 | 饰面板墙面造型
R106 | 阳台木制地台
R107 | 墙顶面基层加固
R108 | 墙面基层处理（鸟巢腻子）
R109 | 芬琳芬华五合一内墙乳胶漆
R110 | 30-60MM实木线条油漆
R111 | 木制混油漆
R112 | 木制雕花有色油漆
R113 | 木格装饰有色漆
R114 | 墙面漆护角
R115 | 墙面漆护角
R116 | 门廊防潮处理
R117 | 防潮处理
R118 [FLOOR_MATCH=['地面保护']] | 地面保护
R119 | 小计
R120 | 厨房
R121 [FLOOR_MATCH=['铺地砖', '地砖']] | 铺地砖（正贴）
R122 | 墙面贴瓷片
R123 | 墙面瓷片碰角加工
R124 | 勾缝处理
R125 | 地面防水处理
R126 | 厨柜
R127 [FLOOR_MATCH=['地面保护']] | 地面保护
R128 | 小计
R129 | 公卫
R130 [FLOOR_MATCH=['铺地砖', '地砖']] | 铺地砖（正贴）
R131 | 墙面贴瓷片
R132 | 淋浴间地面贴大理石
R133 | 淋浴间地面大理石四周水槽
R134 | 淋浴基石安装
R135 | 墙面瓷砖刷背胶
R136 | 墙面瓷片碰角加工
R137 | 勾缝处理
R138 | 水泥地台
R139 | 地面防水处理
R140 | 地面防水保护层
R141 | 墙面防水层
R142 [FLOOR_MATCH=['地面保护']] | 地面保护
R143 | 小计
R144 | 主卧、衣帽间
R145 [FLOOR_MATCH=['地面找平']] | 地面找平
R146 | 自流平找平处理
R147 | 衣柜（无门）
R148 | 柜内PU线条条收边
R149 | 夹板墙
R150 | 60MM实木边阴角线
R151 | 飘窗大理石铺贴
R152 | 墙顶面基层加固
R153 | 墙面基层处理（鸟巢腻子）
R154 | 芬琳芬华五合一内墙乳胶漆
R155 | 60MM实木线条油漆
R156 | 木制混油漆
R157 | 防潮处理
R158 | 小计
R159 | 主卫
R160 [FLOOR_MATCH=['铺地砖', '地砖']] | 铺地砖（正贴）
R161 | 墙面贴瓷片
R162 | 墙面瓷片碰角加工
R163 | 防潮石膏板天花
R164 | 顶面基层处理（鸟巢防水腻子）
R165 | 防潮乳胶漆
R166 | 砌洗手台
R167 | 洗手台钢架基础
R168 | 勾缝处理
R169 | 地面防水处理
R170 | 地面防水保护层
R171 | 墙面防水层
R172 [FLOOR_MATCH=['地面保护']] | 地面保护
R173 | 小计
R174 | 次卧一
R175 [FLOOR_MATCH=['地面找平']] | 地面找平
R176 | 墙顶面基层加固
R177 | 墙面基层处理（鸟巢腻子）
R178 | 芬琳芬华五合一内墙乳胶漆
R179 | 小计
R180 | 次卧二
R181 [FLOOR_MATCH=['地面找平']] | 地面找平
R182 | 墙顶面基层加固
R183 | 墙面基层处理（鸟巢腻子）
R184 | 芬琳芬华五合一内墙乳胶漆
R185 | 小计
R186 | 次卧三
R187 [FLOOR_MATCH=['地面找平']] | 地面找平
R188 | 飘窗大理石铺贴
R189 | 墙顶面基层加固
R190 | 墙面基层处理（鸟巢腻子）
R191 | 芬琳芬华五合一内墙乳胶漆
R192 | 小计
R193 | 综合
R194 | 电安装（部份改动）
R195 | 开关插座布线
R196 | 电话线
R197 | 电视线
R198 | 光纤线
R199 | 网线
R200 | 音响线
R201 | 液晶电视引线管
R202 | 底盒、面板安装
R203 | 专线(4MM2)
R204 | 专线(6MM2)
R205 | 专线(10MM2)
R206 | 强电箱安装
R207 | 弱电箱安装
R208 | 灯具安装
R209 | 布线开槽
R210 | 小计
R211 | 水安装（部份改动）
R212 | 冷、热给水管（布管）
R213 | 排水管安装
R214 | 排污管安装
R215 | 空调下水管安装
R216 | 总水阀安装
R217 | 小计
R218 | 其它
R219 | 门槛大理石铺贴
R220 | 楼梯栏杆大理石铺贴
R221 | 沉箱架空处理
R222 | 陶粒回填
R223 | 沉箱回填
R224 | 包单排水管
R225 | 包双排水管
R226 | 室内高空作业费
R227 | 室内高空作业费
R228 | 开孔
R229 | 地漏安装
R230 | 墙面修补
R231 | 新建门洞(90CM内)
R232 | 墙体拆除
R233 | 拆烟道
R234 | 卫生间墙面丙纶打磨
R235 | 拆墙面瓷片
R236 | 拆室内室外保温层
R237 | 外墙漆铲除
R238 | 拆地面保温层
R239 | 拆柱子外延边
R240 | 拆现浇飘窗
R241 | 拆现浇楼梯
R242 | 拆楼板
R243 | 挖排水沟
R244 | 拆现浇梁及立柱
R245 | 拆铝扣板吊顶
R246 [FLOOR_MATCH=['地砖']] | 拆地砖
R247 | 地固漆
R248 | 现浇直形楼梯主体
R249 | 现浇弧形楼梯主体
R250 | 钢架楼梯
R251 | 现浇楼板
R252 | 花园地面硬化
R253 | 现浇楼板（钢架业主自理）
R254 | 现浇楼板（含钢架）
R255 | 现浇梁(240*300以内）
R256 | 门厅顶面钢架（工字钢）
R257 | 门厅顶面钢板（瓦形）
R258 | 门厅顶面现浇钢筋混凝土
R259 | 水泥板
R260 | 墙面刷外墙漆
R261 | 楼顶面盖瓦
R262 | 楼顶面盖瓦放坡度
R263 | 砌立柱（24分）
R264 | 一楼花池挖土方
R265 | 阳台砌花池
R266 | 花池贴条形砖（20公分以下）
R267 | 花池防水处理
R268 | 原墙面铺青石板
R269 | 自粘防水卷材
R270 | 聚乙烯丙纶防水
R271 | 卷材防水保护层
R272 | 露台大理石挡水边
R273 | 电视背景现浇钢架地台
R274 | 新砌踏步
R275 | 楼梯踏步大理石铺贴
R276 [FLOOR_MATCH=['地砖']] | 楼梯踏步地砖铺贴
R277 | 楼梯踏步基层打底
R278 | 楼梯梯邦打底
R279 | 砌墙（6分）
R280 | 砌墙（12分）
R281 | 砌墙（24分）
R282 | 墙面批档
R283 | 开荒保洁
R284 | 小计
R285 | 合计
R286 | 直接费
R287 | 以下项目不打折
R288 | 搬运费3.5%
R289 | 建渣清运3%
R290 | 管理费8%
R291 | 设计服务费5%
R292 | 总计
R293 | 税金=（总计*6%）
R294 | 补充报价
R295 | 抽屉及键盘
R296 | 小挂件安装
R297 | 洗手盆安装
R298 | 淋浴安装
R299 | 座厕安装
R300 | 蹲厕安装
R301 | 砌壁龛
R302 | 窗帘盒
R303 | 空调孔开孔
R304 | 开孔
R305 | 悬挂电视位红砖加固
R306 | 中央空调风口加固
R307 | 地暖后整体找平
R308 | 做地暖门洞升高
R309 | 淋浴基石安装
R310 | 顶面白灰铲除
R311 | 成品保护
R312 | 暗装预埋花洒
R313 | 暗装预埋水箱
R314 | 墙面防裂网
R315 | 阳台大理石挡水边
R316 | 烟道瓷片防脱落处理
R317 | 拆构造柱
R318 | 补充说明
R319 [FLOOR_MATCH=['地砖', '地板']] | 业主自购材料：大理石、地砖、瓷片、墙纸及墙布、艺术漆、木地板、灯具、洁具、橱柜及电器、铝扣吊顶、艺术玻璃、定制家具及护墙板、实木雕花、水龙头、门窗及门锁、五金件、开关插座面板、地漏、空调打洞、煤气总闸等
R320 [FLOOR_MATCH=['地砖']] | 贴砖补充说明：墙/地砖铺600*900或600*1200每平米另加16元，750*1500每平米加39元，800*1600每平米加49元，900*1800每平米加59元，菱形铺法每平米另加16元，仿木纹条形砖每平米另加20元，腰线12元/米，拼花铺法每平米另加28元，菱形拼花及小于或等于200*200的地∕墙砖铺贴每平米另加75元。
R321 | 如果您先做预算（指尚未出施工图纸），此报价仅供您参考或作为您与我公司签定合同的参考依据，我公司保留依施工图纸所用材料和加工件复杂系数 ，修订项目单价的权力（具体价格待施工图确定后再定）
R322 | 工程所在地方的房管局审批费用和物业管理处所交一切费用由业主支付；乙方协助提供甲方所需相关资料。施工中如有增减项目，以增减项目变更单为准结算工程款；工程结算时，按实际发生的工程量计算；
R323 | 主要材料品牌：兔宝宝欧松板（优等品）；立邦漆永得丽木制油漆；乳胶漆芬琳芬华全能内墙底漆、芬琳芬华五合一内墙乳胶漆；塔牌（低烟无卤阻燃）电线；安普恒讯宽频线（7类双屏蔽）及电话线；安普音响线；广东帝豪装饰专用伟星（福管）PPR抗菌水管；广东帝豪装饰专用伟星PVC-U斯派诺线管；伟星牌PVC-U（青韵）下水管；德高防水；广东帝豪装饰专用西牛牌防潮宝；德高地固漆；龙马牌白乳胶或兔宝宝白乳胶；兔宝宝净醛石膏板；匡山或海螺水泥、人工沙。如上述材料供应紧张，乙方可使用不低于上述档次的品牌材料
R324 | 超过二层及以上无电梯或电梯不准运输，材料搬运费及垃圾清运费另加合计费的2%；五层及以上无电梯或电梯不准运输，材料搬运费及垃圾清运费另加3% .（注：含有电梯但不准运输）以此类推。
R325 | 业主交纳工程款时，必须见到带有本公司财务公章的正规收据，否则本公司有权不予认可
R326 | 施工过程中，如果业主装修项目有违反建筑装饰施工条例的项目，本公司有权拒绝施工。(如甲方强制要求施工，本公司不予保修及承担任何责任）
R327 | 注：本报价中增加项目及水电项目未含以下项目不打折的费用，结算时应予以加上。
R328 | 业主：　　　　　审核：　　　　　　设计师：　　　　　　施工图：　　　　　效果图：　　　　　报价：
